company_name_no_spaces,most_recent_date,most_recent_price,most_recent_volume,one_day_before_date,one_day_before_price,one_day_before_volume,one_day_price_change,one_day_price_change_pct,one_day_volume_change,one_day_volume_change_pct,one_month_before_date,one_month_before_price,one_month_before_volume,one_month_price_change,one_month_price_change_pct,one_month_volume_change,one_month_volume_change_pct,one_week_before_date,one_week_before_price,one_week_before_volume,one_week_price_change,one_week_price_change_pct,one_week_volume_change,one_week_volume_change_pct
CityDev,2018-07-18,9.78,2618300.0,2018-07-17,9.64,2492600.0,0.1399999999999988,1.4522821576763358,125700.0,5.042927064109764,2018-06-20,11.25,1524400.0,-1.4700000000000006,-13.066666666666675,1093900.0,71.75938073996326,2018-07-11,9.59,4293300.0,0.1899999999999995,1.981230448383728,-1675000.0,-39.01427806116507
DBS,2018-07-18,25.86,3220000.0,2018-07-17,26.01,3926400.0,-0.15000000000000213,-0.5767012687427994,-706400.0,-17.991035044824773,2018-06-20,27.01,4236400.0,-1.150000000000002,-4.257682339874128,-1016400.0,-23.992068737607408,2018-07-11,26.01,5468900.0,-0.15000000000000213,-0.5767012687427994,-2248900.0,-41.12161494998994
UOL,2018-07-18,6.87,2590000.0,2018-07-17,6.85,2817600.0,0.020000000000000462,0.2919708029197148,-227600.0,-8.077796706416809,2018-06-20,7.57,2019300.0,-0.7000000000000002,-9.247027741083224,570700.0,28.26226910315456,2018-07-11,6.63,4610000.0,0.2400000000000002,3.619909502262447,-2020000.0,-43.817787418655094
SingTel,2018-07-18,3.24,13252600.0,2018-07-17,3.27,14616200.0,-0.029999999999999805,-0.9174311926605444,-1363600.0,-9.329374255962565,2018-06-20,3.17,20205100.0,0.07000000000000027,2.2082018927444893,-6952500.0,-34.40962925202053,2018-07-11,3.27,19959000.0,-0.029999999999999805,-0.9174311926605444,-6706400.0,-33.600881807705804
UOB,2018-07-18,25.89,2889100.0,2018-07-17,25.92,2649800.0,-0.030000000000001137,-0.11574074074074513,239300.0,9.03087025435882,2018-06-20,26.72,3908500.0,-0.8299999999999983,-3.106287425149694,-1019400.0,-26.08161698861456,2018-07-11,26.6,2619900.0,-0.7100000000000009,-2.66917293233083,269200.0,10.275201343562733
Keppel_Corp,2018-07-18,6.85,6261400.0,2018-07-17,6.68,3434800.0,0.16999999999999993,2.5449101796407176,2826600.0,82.29300104809595,2018-06-20,7.12,4834600.0,-0.2700000000000005,-3.7921348314606806,1426800.0,29.51226575104455,2018-07-11,6.72,2922100.0,0.1299999999999999,1.934523809523808,3339300.0,114.27740323739776
CapitaLand,2018-07-18,3.11,12441500.0,2018-07-17,3.07,9627300.0,0.040000000000000036,1.3029315960912065,2814200.0,29.231456379254823,2018-06-20,3.33,5849800.0,-0.2200000000000002,-6.606606606606611,6591700.0,112.68248487127764,2018-07-11,3.02,15259600.0,0.08999999999999986,2.980132450331121,-2818100.0,-18.467718682010013
OCBC_Bank,2018-07-18,11.15,5583000.0,2018-07-17,11.12,6239700.0,0.030000000000001137,0.2697841726618808,-656700.0,-10.524544449252367,2018-06-20,11.92,5635400.0,-0.7699999999999996,-6.459731543624157,-52400.0,-0.9298363913830427,2018-07-11,11.33,6085800.0,-0.17999999999999972,-1.588702559576343,-502800.0,-8.261855466824409
Genting_Sing,2018-07-18,1.25,25700700.0,2018-07-17,1.25,22887800.0,0.0,0.0,2812900.0,12.289953599734357,2018-06-20,1.23,32032200.0,0.020000000000000014,1.6260162601626031,-6331500.0,-19.76604791428625,2018-07-11,1.21,57851600.0,0.040000000000000036,3.305785123966945,-32150900.0,-55.574780991364115
Venture,2018-07-18,16.89,2935800.0,2018-07-17,17.03,4389400.0,-0.14000000000000054,-0.8220786846741077,-1453600.0,-33.11614343646057,2018-06-20,18.21,5215200.0,-1.3200000000000005,-7.248764415156509,-2279400.0,-43.706856879889564,2018-07-11,16.67,2328200.0,0.21999999999999886,1.319736052789435,607600.0,26.09741431148527
CapitaMall_Trust,2018-07-18,2.12,16835700.0,2018-07-17,2.13,15827800.0,-0.009999999999999787,-0.4694835680751074,1007900.0,6.367909627364512,2018-06-20,2.05,16568000.0,0.07000000000000027,3.414634146341477,267700.0,1.6157653307580881,2018-07-11,2.11,10637900.0,0.010000000000000231,0.4739336492891105,6197800.0,58.26149898006186
YZJ_Shipbldg_SGD,2018-07-18,0.85,31248300.0,2018-07-17,0.85,38779700.0,0.0,0.0,-7531400.0,-19.420985721911205,2018-06-20,0.94,34482000.0,-0.08999999999999997,-9.574468085106382,-3233700.0,-9.377936314598921,2018-07-11,0.895,32394300.0,-0.04500000000000004,-5.0279329608938585,-1146000.0,-3.537659403043128
CapitaCom_Trust,2018-07-18,1.76,12024500.0,2018-07-17,1.74,13549700.0,0.020000000000000014,1.1494252873563229,-1525200.0,-11.256337778696208,2018-06-20,1.65,9963200.0,0.1100000000000001,6.666666666666673,2061300.0,20.689136020555647,2018-07-11,1.74,18946800.0,0.020000000000000014,1.1494252873563229,-6922300.0,-36.53545717482636
Ascendas_Reit,2018-07-18,2.72,8106300.0,2018-07-17,2.7,14374500.0,0.020000000000000014,0.7407407407407414,-6268200.0,-43.60638630908901,2018-06-20,2.61,7844100.0,0.11000000000000032,4.2145593869731925,262200.0,3.3426396909779323,2018-07-11,2.71,7969700.0,0.010000000000000231,0.3690036900369089,136600.0,1.713991743729375
ComfortDelGro,2018-07-18,2.29,5262374.0,2018-07-17,2.34,3720800.0,-0.049999999999999815,-2.136752136752129,1541574.0,41.43125134379703,2018-06-20,2.33,8550700.0,-0.040000000000000036,-1.716738197424894,-3288326.0,-38.45680470604746,2018-07-11,2.36,2826600.0,-0.06999999999999984,-2.966101694915248,2435774.0,86.1732823887356
SIA,2018-07-17,10.75,2178700.0,2018-07-16,10.38,1026100.0,0.3699999999999992,3.5645472061656958,1152600.0,112.32823311568077,2018-06-19,11.11,1453600.0,-0.35999999999999943,-3.240324032403236,725100.0,49.883048981838186,2018-07-10,10.41,1373400.0,0.33999999999999986,3.2660902977905844,805300.0,58.63550313091598
Jardine_C&C,2018-07-18,32.16,143800.0,2018-07-17,32.16,119500.0,0.0,0.0,24300.0,20.334728033472803,2018-06-20,33.12,268000.0,-0.9600000000000009,-2.898550724637684,-124200.0,-46.34328358208955,2018-07-11,32.0,197650.0,0.1599999999999966,0.4999999999999893,-53850.0,-27.245130280799394
SPH,2018-07-18,2.81,4150800.0,2018-07-17,2.83,9286200.0,-0.020000000000000014,-0.7067137809187285,-5135400.0,-55.30141500290755,2018-06-20,2.57,2990200.0,0.2400000000000002,9.338521400778218,1160600.0,38.813457293826495,2018-07-11,2.75,4397200.0,0.06000000000000005,2.181818181818184,-246400.0,-5.603565905576277
SGX,2018-07-18,7.48,1458300.0,2018-07-17,7.45,2014100.0,0.03000000000000025,0.4026845637583926,-555800.0,-27.595452062956163,2018-06-20,7.19,1176300.0,0.29000000000000004,4.033379694019471,282000.0,23.973476154042334,2018-07-11,7.39,2694000.0,0.09000000000000075,1.2178619756427709,-1235700.0,-45.8685968819599
ThaiBev,2018-07-18,0.73,26372900.0,2018-07-17,0.725,15435100.0,0.0050000000000000044,0.6896551724137937,10937800.0,70.86316253215074,2018-06-20,0.795,7981700.0,-0.06500000000000006,-8.176100628930824,18391200.0,230.41707906836888,2018-07-11,0.725,4844700.0,0.0050000000000000044,0.6896551724137937,21528200.0,444.366008215163
ST_Engineering,2018-07-18,3.33,3307000.0,2018-04-25,3.46,5545400.0,-0.1299999999999999,-3.757225433526009,-2238400.0,-40.364987196595365,2018-03-28,3.4130000000000003,2949300.0,-0.08300000000000017,-2.4318781130969875,357700.0,12.128301630895464,2018-04-19,3.5783,3782900.0,-0.2483,-6.939049269206048,-475900.0,-12.580295540458376
Sembcorp_Ind,2018-07-18,2.62,2348600.0,2018-07-17,2.61,3275600.0,0.010000000000000231,0.3831417624521162,-927000.0,-28.30015874954207,2018-06-20,2.79,3378900.0,-0.16999999999999993,-6.0931899641577045,-1030300.0,-30.492172008641862,2018-07-11,2.68,3179200.0,-0.06000000000000005,-2.238805970149256,-830600.0,-26.126069451434326
Wilmar_Intl,2018-07-17,3.0,4311600.0,2018-07-16,3.01,3193300.0,-0.009999999999999787,-0.3322259136212554,1118300.0,35.02019854069458,2018-06-19,3.17,15089400.0,-0.16999999999999993,-5.362776025236591,-10777800.0,-71.42629925643166,2018-07-10,3.07,7023200.0,-0.06999999999999984,-2.280130293159604,-2711600.0,-38.60918100011391
StarHub,2018-07-17,1.7,3584000.0,2018-07-16,1.73,2858600.0,-0.030000000000000027,-1.734104046242776,725400.0,25.37605821031275,2018-06-19,1.67,13015300.0,0.030000000000000027,1.7964071856287442,-9431300.0,-72.46317795210253,2018-07-10,1.75,5680800.0,-0.05000000000000005,-2.85714285714286,-2096800.0,-36.91029432474299
SATS,2018-07-18,5.07,1618600.0,2018-07-17,5.08,1915300.0,-0.009999999999999787,-0.1968503937007832,-296700.0,-15.491045789171407,2018-06-20,4.87,1597900.0,0.20000000000000015,4.106776180698154,20700.0,1.2954502784905186,2018-07-11,5.16,1922100.0,-0.08999999999999986,-1.744186046511625,-303500.0,-15.790021330836066
HongkongLand_USD,2018-07-18,7.25,934100.0,2018-07-17,7.19,1280100.0,0.05999999999999961,0.8344923504867816,-346000.0,-27.02913834856652,2018-06-20,7.21,2258500.0,0.040000000000000036,0.5547850208044388,-1324400.0,-58.64069072393181,2018-07-11,7.34,958500.0,-0.08999999999999986,-1.226158038147137,-24400.0,-2.5456442357850806
JSH_USD,2018-07-18,38.57,125200.0,2018-07-17,38.23,136100.0,0.3400000000000034,0.8893539105414686,-10900.0,-8.008817046289494,2018-06-20,36.85,232100.0,1.7199999999999989,4.66757123473541,-106900.0,-46.057733735458854,2018-07-11,37.2,168500.0,1.3699999999999974,3.682795698924725,-43300.0,-25.6973293768546
JMH_USD,2018-07-18,64.61,188300.0,2018-07-17,65.0,180000.0,-0.39000000000000057,-0.6000000000000009,8300.0,4.611111111111111,2018-06-20,62.54,76400.0,2.0700000000000003,3.309881675727535,111900.0,146.46596858638742,2018-07-11,64.79,179100.0,-0.18000000000000682,-0.2778206513350931,9200.0,5.13679508654383
HPH_Trust_USD,2018-07-18,0.275,14032000.0,2018-07-17,0.28,10735400.0,-0.0050000000000000044,-1.785714285714287,3296600.0,30.70775192354267,2018-06-20,0.295,19783500.0,-0.01999999999999996,-6.77966101694914,-5751500.0,-29.072206636843834,2018-07-11,0.28,5785500.0,-0.0050000000000000044,-1.785714285714287,8246500.0,142.53737792757758
Golden_Agri-Res,2018-07-18,0.27,30273400.0,2018-07-17,0.28,13751000.0,-0.010000000000000007,-3.571428571428574,16522400.0,120.15417060577414,2018-06-20,0.33,13496400.0,-0.06,-18.18181818181818,16777000.0,124.30722266678522,2018-07-11,0.27,41019500.0,0.0,0.0,-10746100.0,-26.197540194297837
